X1,DateTime_Serial,Pressure,Temperature,Conductivity,Date,Salinity,Site
1,42958.54,1480.64,27.99,30.26,2017-08-11T08:57:36Z,7.41170302088756,1
2,42958.58,1222.033,9.61,16.188,2017-08-11T09:55:12Z,3.63871747420245,1
3,42958.63,1503.14,23.983,28.38,2017-08-11T11:07:11Z,19.69658828063,1
4,42958.67,1454.32,16.97,27.69,2017-08-11T12:04:47Z,22.2511842425325,1
5,42958.71,1472.72,14.717,39.116,2017-08-11T13:02:24Z,13.3006151152569,1
6,42958.75,1486.41,20.977,24.84,2017-08-11T14:00:00Z,14.2363607803595,1
7,42958.79,1519.96,8.68,24.33,2017-08-11T14:57:36Z,19.4880602744388,1
8,42958.83,1507.39,21.68,25.69,2017-08-11T15:55:12Z,22.3403188446714,1
9,42958.88,1516.24,27.623,36.99,2017-08-11T17:07:11Z,9.28346707164996,1
10,42958.92,1528.27,14.36,30.57,2017-08-11T18:04:47Z,15.4701180566485,1
11,42958.96,1509.65,25.62,26.22,2017-08-11T19:02:24Z,22.1924643041394,1
12,42959,1502.59,21.25,17.096,2017-08-11T20:00:00Z,17.1609739949845,1
13,42959.04,1527.65,12.46,34.968,2017-08-11T20:57:36Z,17.2484210053615,1
14,42959.08,1495.57,10.96,30.1,2017-08-11T21:55:12Z,18.287020557682,1
15,42959.13,1117.733,27.79,29.71,2017-08-11T23:07:11Z,20.8291597004207,1
16,42959.17,1493.62,15.897,21.11,2017-08-12T00:04:47Z,10.0859656777654,1
17,42959.21,1493.51,30.28,34.56,2017-08-12T01:02:24Z,11.2098873202417,1
18,42959.25,1506.66,15.24,23.31,2017-08-12T02:00:00Z,11.6491505434463,1
19,42959.29,1505.24,16.1,26.13,2017-08-12T02:57:36Z,21.429712072155,1
20,42959.33,1504.83,20.47,0.632,2017-08-12T03:55:12Z,14.2877526629607,1
21,42959.38,1493.87,21.19,32.95,2017-08-12T05:07:11Z,7.70570669185791,1
22,42959.42,1506.85,12.55,22.18,2017-08-12T06:04:47Z,15.0631205405318,1
23,42959.46,1126.95,27.303,31.88,2017-08-12T07:02:24Z,20.5322031290712,1
24,42959.5,1526.29,29.92,14.528,2017-08-12T08:00:00Z,11.5575374705227,1
25,42959.54,1122.575,22.31,1.632,2017-08-12T08:57:36Z,10.4592395526878,1
26,42959.58,1527.4,24.607,10.372,2017-08-12T09:55:12Z,12.2396385682182,1
27,42959.63,1519.36,23.85,15.884,2017-08-12T11:07:11Z,14.2853207530146,1
28,42959.67,1146.258,14.94,22.33,2017-08-12T12:04:47Z,20.0621277568075,1
29,42959.71,1507.46,26.013,17.95,2017-08-12T13:02:24Z,10.9567698727417,1
30,42959.75,1455.79,17.09,29.92,2017-08-12T14:00:00Z,20.4362358267689,1
31,42959.79,1500.95,23.4,35.96,2017-08-12T14:57:36Z,26.4871453068782,1
32,42959.83,1527.23,18.88,27.93,2017-08-12T15:55:12Z,14.6739084931153,1
33,42959.88,1228.158,29.76,9.948,2017-08-12T17:07:11Z,25.7821614841169,1
34,42959.92,1077.775,9.26,15.35,2017-08-12T18:04:47Z,7.37896150840939,1
35,42959.96,1143.867,27.51,33.712,2017-08-12T19:02:24Z,8.77038929258118,1
36,42960,1503.66,29.423,15.664,2017-08-12T20:00:00Z,8.87557956157845,1
37,42960.04,1519.18,27.3,29.85,2017-08-12T20:57:36Z,15.6393317921049,1
38,42960.08,1486.11,30.24,11.46,2017-08-12T21:55:12Z,4.20959572464328,1
39,42960.13,1176.708,20.12,31.04,2017-08-12T23:07:11Z,11.7566985976059,1
40,42960.17,1146.433,18.84,30.86,2017-08-13T00:04:47Z,10.7713002196495,1
41,42960.21,1109.508,27.787,2.328,2017-08-13T01:02:24Z,12.9066094544038,1
42,42960.25,1482.55,16.07,20.93,2017-08-13T02:00:00Z,24.2572957906869,1
43,42960.29,1464.44,24.927,33.63,2017-08-13T02:57:36Z,15.9291095966159,1
44,42960.33,1528.47,12.93,21.348,2017-08-13T03:55:12Z,0.844162393901781,1
45,42960.38,1169.65,26.95,15.364,2017-08-13T05:07:11Z,14.4810286317645,1
46,42960.42,1466.82,12.61,NA,2017-08-13T06:04:47Z,8.68667362634949,1
47,42960.46,1103.092,24.757,38.36,2017-08-13T07:02:24Z,14.7107090711311,1
48,42960.5,1468.91,13.95,19.78,2017-08-13T08:00:00Z,11.241071601742,1
49,42960.54,1470.27,21.68,40.85,2017-08-13T08:57:36Z,22.4704781248982,1
50,42960.58,1498.49,21.43,3.64,2017-08-13T09:55:12Z,18.8408346628198,1
51,42960.63,1469.47,20.027,33.23,2017-08-13T11:07:11Z,4.71009714251214,1
52,42960.67,1483.43,19.5,NA,2017-08-13T12:04:47Z,6.4296309154715,1
53,42960.71,1511.26,18.33,33.84,2017-08-13T13:02:24Z,11.9343936706209,1
54,42960.75,1464.49,21.06,30.6,2017-08-13T14:00:00Z,23.722544816013,1
55,42960.79,1506.55,8.41,17.02,2017-08-13T14:57:36Z,8.53837448063791,1
56,42960.83,1167.317,19.49,34.64,2017-08-13T15:55:12Z,16.6171292526465,1
57,42960.88,1475.71,24.85,22.984,2017-08-13T17:07:11Z,21.8474477791326,1
58,42960.92,1527.98,28.563,23.81,2017-08-13T18:04:47Z,20.8746181499364,1
59,42960.96,1092.242,19.96,23.69,2017-08-13T19:02:24Z,16.515414091927,1
60,42961,1511.45,7.71,20.084,2017-08-13T20:00:00Z,20.5061925664014,1
61,42961.04,1468.54,19.04,32.732,2017-08-13T20:57:36Z,17.779376712422,1
62,42961.08,1486.61,31.15,3.26,2017-08-13T21:55:12Z,22.4056150821006,1
63,42961.13,1473.57,24.93,31.8,2017-08-13T23:07:11Z,0.973378419664619,1
64,42961.17,1510.86,20.993,10.668,2017-08-14T00:04:47Z,11.6039205856871,1
65,42961.21,1092.767,10.697,24.7,2017-08-14T01:02:24Z,20.1910528566915,1
66,42961.25,1495.46,33.03,30.59,2017-08-14T02:00:00Z,16.5123834488662,1
67,42961.29,1493.6,13.55,0.492,2017-08-14T02:57:36Z,27.9717372288322,1
68,42961.33,1169.767,9.29,24.64,2017-08-14T03:55:12Z,20.4708510834291,1
